;Payment_Behaviour
229;Low_spent_Small_value_payments
230;Low_spent_Small_value_payments
231;Low_spent_Large_value_payments
232;High_spent_Large_value_payments
233;Low_spent_Medium_value_payments
234;High_spent_Medium_value_payments
235;Low_spent_Large_value_payments
236;High_spent_Large_value_payments
237;High_spent_Small_value_payments
238;High_spent_Large_value_payments
239;Low_spent_Large_value_payments
240;Low_spent_Small_value_payments
241;High_spent_Large_value_payments
242;Low_spent_Small_value_payments
243;Low_spent_Large_value_payments
244;Low_spent_Small_value_payments
245;High_spent_Medium_value_payments
246;Low_spent_Small_value_payments
247;High_spent_Medium_value_payments
248;High_spent_Large_value_payments
249;Low_spent_Medium_value_payments
250;High_spent_Large_value_payments
251;High_spent_Large_value_payments
252;Low_spent_Small_value_payments
253;Low_spent_Small_value_payments
254;Low_spent_Medium_value_payments
255;Low_spent_Small_value_payments
256;Low_spent_Small_value_payments
257;Low_spent_Medium_value_payments
258;High_spent_Small_value_payments
259;Low_spent_Small_value_payments
260;Low_spent_Medium_value_payments
261;High_spent_Medium_value_payments
262;High_spent_Large_value_payments
263;High_spent_Small_value_payments
264;High_spent_Medium_value_payments
265;High_spent_Large_value_payments
266;Low_spent_Medium_value_payments
267;Low_spent_Medium_value_payments
268;High_spent_Large_value_payments
269;Low_spent_Medium_value_payments
270;Low_spent_Large_value_payments
271;Low_spent_Large_value_payments
272;Low_spent_Medium_value_payments
273;Low_spent_Large_value_payments
274;High_spent_Medium_value_payments
275;Low_spent_Small_value_payments
276;Low_spent_Large_value_payments
277;Low_spent_Large_value_payments
278;Low_spent_Small_value_payments
279;High_spent_Large_value_payments
280;High_spent_Medium_value_payments
281;Low_spent_Medium_value_payments
282;High_spent_Medium_value_payments
283;Low_spent_Medium_value_payments
284;Low_spent_Medium_value_payments
285;Low_spent_Medium_value_payments
286;High_spent_Medium_value_payments
287;High_spent_Medium_value_payments
288;High_spent_Large_value_payments
289;Low_spent_Medium_value_payments
290;High_spent_Large_value_payments
291;High_spent_Large_value_payments
292;High_spent_Small_value_payments
293;High_spent_Large_value_payments
294;High_spent_Large_value_payments
295;Low_spent_Small_value_payments
296;Low_spent_Small_value_payments
297;High_spent_Large_value_payments
298;Low_spent_Large_value_payments
299;Low_spent_Large_value_payments
300;Low_spent_Medium_value_payments
301;Low_spent_Small_value_payments
302;Low_spent_Medium_value_payments
303;High_spent_Large_value_payments
304;Low_spent_Medium_value_payments
305;Low_spent_Large_value_payments
306;Low_spent_Small_value_payments
307;Low_spent_Medium_value_payments
308;Low_spent_Medium_value_payments
309;Low_spent_Medium_value_payments
310;Low_spent_Small_value_payments
311;Low_spent_Medium_value_payments
312;Low_spent_Small_value_payments
313;Low_spent_Small_value_payments
314;High_spent_Medium_value_payments
315;High_spent_Small_value_payments
316;High_spent_Large_value_payments
317;High_spent_Medium_value_payments
318;High_spent_Large_value_payments
319;High_spent_Large_value_payments
320;Low_spent_Small_value_payments
321;High_spent_Large_value_payments
322;Low_spent_Small_value_payments
323;Low_spent_Medium_value_payments
324;Low_spent_Medium_value_payments
325;Low_spent_Large_value_payments
326;Low_spent_Medium_value_payments
327;High_spent_Small_value_payments
328;High_spent_Large_value_payments
329;High_spent_Large_value_payments
330;Low_spent_Small_value_payments
331;High_spent_Medium_value_payments
332;High_spent_Large_value_payments
333;High_spent_Medium_value_payments
334;High_spent_Large_value_payments
335;Low_spent_Small_value_payments
336;Low_spent_Small_value_payments
337;Low_spent_Medium_value_payments
338;Low_spent_Small_value_payments
339;Low_spent_Medium_value_payments
340;High_spent_Small_value_payments
341;High_spent_Medium_value_payments
342;Low_spent_Small_value_payments
343;Low_spent_Large_value_payments
344;High_spent_Large_value_payments
345;Low_spent_Medium_value_payments
346;High_spent_Large_value_payments
347;Low_spent_Medium_value_payments
348;High_spent_Medium_value_payments
349;High_spent_Large_value_payments
350;Low_spent_Small_value_payments
351;High_spent_Large_value_payments
352;High_spent_Medium_value_payments
353;High_spent_Medium_value_payments
354;Low_spent_Small_value_payments
355;High_spent_Medium_value_payments
356;Low_spent_Medium_value_payments
357;High_spent_Large_value_payments
358;Low_spent_Medium_value_payments
359;Low_spent_Small_value_payments
360;Low_spent_Medium_value_payments
361;High_spent_Large_value_payments
362;Low_spent_Medium_value_payments
363;High_spent_Medium_value_payments
364;High_spent_Medium_value_payments
365;Low_spent_Medium_value_payments
366;High_spent_Large_value_payments
367;High_spent_Small_value_payments
368;Low_spent_Small_value_payments
369;Low_spent_Small_value_payments
370;High_spent_Small_value_payments
371;Low_spent_Small_value_payments
372;Low_spent_Small_value_payments
373;High_spent_Large_value_payments
374;Low_spent_Medium_value_payments
375;High_spent_Small_value_payments
376;High_spent_Medium_value_payments
377;Low_spent_Medium_value_payments
378;High_spent_Small_value_payments
379;High_spent_Small_value_payments
380;Low_spent_Medium_value_payments
381;Low_spent_Medium_value_payments
382;High_spent_Small_value_payments
383;Low_spent_Small_value_payments
384;High_spent_Small_value_payments
385;High_spent_Large_value_payments
386;High_spent_Small_value_payments
387;High_spent_Small_value_payments
388;Low_spent_Small_value_payments
389;High_spent_Small_value_payments
390;Low_spent_Medium_value_payments
391;High_spent_Medium_value_payments
392;Low_spent_Small_value_payments
393;High_spent_Large_value_payments
394;Low_spent_Large_value_payments
395;Low_spent_Medium_value_payments
396;High_spent_Medium_value_payments
397;High_spent_Small_value_payments
398;High_spent_Large_value_payments
399;Low_spent_Medium_value_payments
400;Low_spent_Small_value_payments
401;High_spent_Medium_value_payments
402;Low_spent_Small_value_payments
403;High_spent_Large_value_payments
404;Low_spent_Large_value_payments
405;Low_spent_Small_value_payments
406;Low_spent_Medium_value_payments
407;Low_spent_Small_value_payments
408;Low_spent_Small_value_payments
409;Low_spent_Small_value_payments
410;Low_spent_Small_value_payments
411;High_spent_Small_value_payments
412;High_spent_Medium_value_payments
413;Low_spent_Medium_value_payments
414;Low_spent_Small_value_payments
415;Low_spent_Small_value_payments
416;High_spent_Medium_value_payments
417;High_spent_Large_value_payments
418;High_spent_Large_value_payments
419;Low_spent_Medium_value_payments
420;Low_spent_Medium_value_payments
421;Low_spent_Medium_value_payments
422;Low_spent_Small_value_payments
423;Low_spent_Small_value_payments
424;Low_spent_Large_value_payments
425;High_spent_Large_value_payments
426;Low_spent_Small_value_payments
427;Low_spent_Small_value_payments
428;Low_spent_Small_value_payments
429;Low_spent_Small_value_payments
430;Low_spent_Large_value_payments
431;Low_spent_Small_value_payments
432;High_spent_Small_value_payments
433;High_spent_Large_value_payments
434;High_spent_Medium_value_payments
435;High_spent_Medium_value_payments
436;Low_spent_Small_value_payments
437;Low_spent_Medium_value_payments
438;Low_spent_Small_value_payments
439;Low_spent_Small_value_payments
440;High_spent_Medium_value_payments
441;Low_spent_Small_value_payments
442;Low_spent_Large_value_payments
443;Low_spent_Medium_value_payments
444;Low_spent_Medium_value_payments
445;High_spent_Small_value_payments
446;High_spent_Large_value_payments
447;High_spent_Large_value_payments
448;High_spent_Medium_value_payments
449;Low_spent_Medium_value_payments
450;Low_spent_Medium_value_payments
451;High_spent_Medium_value_payments
452;High_spent_Large_value_payments
453;Low_spent_Small_value_payments
454;High_spent_Medium_value_payments
455;Low_spent_Small_value_payments
456;High_spent_Small_value_payments
457;Low_spent_Medium_value_payments
458;Low_spent_Small_value_payments
459;High_spent_Medium_value_payments
460;Low_spent_Small_value_payments
461;High_spent_Medium_value_payments
462;Low_spent_Small_value_payments
463;Low_spent_Small_value_payments
464;Low_spent_Large_value_payments
465;Low_spent_Large_value_payments
466;Low_spent_Small_value_payments
467;Low_spent_Small_value_payments
468;High_spent_Small_value_payments
469;Low_spent_Small_value_payments
470;Low_spent_Large_value_payments
471;High_spent_Small_value_payments
472;Low_spent_Large_value_payments
473;High_spent_Small_value_payments
474;Low_spent_Small_value_payments
475;Low_spent_Small_value_payments
476;High_spent_Medium_value_payments
477;High_spent_Medium_value_payments
478;High_spent_Small_value_payments
479;Low_spent_Small_value_payments
480;High_spent_Large_value_payments
481;Low_spent_Large_value_payments
482;High_spent_Medium_value_payments
483;High_spent_Small_value_payments
484;High_spent_Medium_value_payments
485;Low_spent_Medium_value_payments
486;Low_spent_Large_value_payments
487;High_spent_Large_value_payments
488;Low_spent_Small_value_payments
489;Low_spent_Small_value_payments
490;Low_spent_Small_value_payments
491;Low_spent_Small_value_payments
492;High_spent_Medium_value_payments
493;Low_spent_Small_value_payments
494;High_spent_Small_value_payments
495;Low_spent_Small_value_payments
496;High_spent_Large_value_payments
497;Low_spent_Small_value_payments
498;High_spent_Medium_value_payments
499;Low_spent_Small_value_payments
500;High_spent_Small_value_payments
501;Low_spent_Large_value_payments
502;Low_spent_Small_value_payments
503;High_spent_Small_value_payments
504;High_spent_Large_value_payments
505;High_spent_Medium_value_payments
506;Low_spent_Small_value_payments
507;Low_spent_Medium_value_payments
508;Low_spent_Medium_value_payments
509;High_spent_Small_value_payments
510;Low_spent_Large_value_payments
511;High_spent_Medium_value_payments
512;High_spent_Medium_value_payments
513;High_spent_Medium_value_payments
514;High_spent_Large_value_payments
515;High_spent_Medium_value_payments
516;Low_spent_Small_value_payments
517;High_spent_Small_value_payments
518;High_spent_Medium_value_payments
519;Low_spent_Large_value_payments
520;High_spent_Large_value_payments
521;Low_spent_Small_value_payments
522;Low_spent_Small_value_payments
523;High_spent_Medium_value_payments
524;Low_spent_Small_value_payments
525;Low_spent_Large_value_payments
526;Low_spent_Small_value_payments
527;High_spent_Large_value_payments
528;High_spent_Medium_value_payments
529;High_spent_Medium_value_payments
530;High_spent_Large_value_payments
531;Low_spent_Small_value_payments
532;Low_spent_Small_value_payments
533;High_spent_Medium_value_payments
534;Low_spent_Small_value_payments
535;High_spent_Small_value_payments
536;Low_spent_Small_value_payments
537;Low_spent_Small_value_payments
538;Low_spent_Small_value_payments
539;Low_spent_Large_value_payments
540;High_spent_Large_value_payments
541;Low_spent_Medium_value_payments
542;High_spent_Small_value_payments
543;High_spent_Small_value_payments
544;Low_spent_Small_value_payments
545;Low_spent_Small_value_payments
546;High_spent_Large_value_payments
547;Low_spent_Medium_value_payments
548;Low_spent_Small_value_payments
549;Low_spent_Large_value_payments
550;High_spent_Large_value_payments
551;Low_spent_Small_value_payments
552;High_spent_Large_value_payments
553;Low_spent_Small_value_payments
554;High_spent_Large_value_payments
555;Low_spent_Large_value_payments
556;Low_spent_Large_value_payments
557;Low_spent_Small_value_payments
558;High_spent_Medium_value_payments
559;High_spent_Medium_value_payments
560;Low_spent_Small_value_payments
561;High_spent_Large_value_payments
562;Low_spent_Medium_value_payments
563;High_spent_Medium_value_payments
564;Low_spent_Medium_value_payments
565;High_spent_Medium_value_payments
566;Low_spent_Medium_value_payments
567;Low_spent_Small_value_payments
568;High_spent_Large_value_payments
569;High_spent_Large_value_payments
570;High_spent_Small_value_payments
571;Low_spent_Medium_value_payments
572;High_spent_Small_value_payments
573;Low_spent_Large_value_payments
574;High_spent_Large_value_payments
575;High_spent_Large_value_payments
576;Low_spent_Large_value_payments
577;High_spent_Medium_value_payments
578;Low_spent_Small_value_payments
579;Low_spent_Medium_value_payments
580;Low_spent_Small_value_payments
581;Low_spent_Small_value_payments
582;Low_spent_Small_value_payments
583;Low_spent_Small_value_payments
584;Low_spent_Small_value_payments
585;High_spent_Large_value_payments
586;Low_spent_Medium_value_payments
587;Low_spent_Small_value_payments
588;Low_spent_Small_value_payments
589;Low_spent_Small_value_payments
590;High_spent_Small_value_payments
591;High_spent_Small_value_payments
592;Low_spent_Small_value_payments
593;High_spent_Large_value_payments
594;High_spent_Medium_value_payments
595;Low_spent_Small_value_payments
596;High_spent_Large_value_payments
597;Low_spent_Medium_value_payments
598;High_spent_Large_value_payments
599;High_spent_Medium_value_payments
600;Low_spent_Large_value_payments
601;High_spent_Medium_value_payments
602;High_spent_Medium_value_payments
603;High_spent_Medium_value_payments
604;High_spent_Medium_value_payments
605;High_spent_Small_value_payments
606;Low_spent_Small_value_payments
607;High_spent_Small_value_payments
608;High_spent_Large_value_payments
609;Low_spent_Large_value_payments
610;High_spent_Large_value_payments
611;Low_spent_Small_value_payments
612;Low_spent_Small_value_payments
613;Low_spent_Small_value_payments
614;Low_spent_Medium_value_payments
615;Low_spent_Small_value_payments
616;High_spent_Medium_value_payments
617;High_spent_Small_value_payments
618;High_spent_Medium_value_payments
619;High_spent_Medium_value_payments
620;High_spent_Large_value_payments
621;High_spent_Medium_value_payments
622;High_spent_Large_value_payments
623;Low_spent_Medium_value_payments
624;Low_spent_Medium_value_payments
625;Low_spent_Medium_value_payments
626;High_spent_Medium_value_payments
627;High_spent_Large_value_payments
628;High_spent_Medium_value_payments
629;High_spent_Large_value_payments
630;High_spent_Large_value_payments
631;High_spent_Small_value_payments
632;Low_spent_Small_value_payments
633;Low_spent_Medium_value_payments
634;Low_spent_Small_value_payments
635;High_spent_Medium_value_payments
636;High_spent_Small_value_payments
637;Low_spent_Large_value_payments
638;High_spent_Medium_value_payments
639;Low_spent_Medium_value_payments
640;Low_spent_Small_value_payments
641;High_spent_Large_value_payments
642;High_spent_Small_value_payments
643;High_spent_Large_value_payments
644;High_spent_Large_value_payments
645;High_spent_Small_value_payments
646;High_spent_Medium_value_payments
647;Low_spent_Large_value_payments
648;High_spent_Large_value_payments
649;High_spent_Medium_value_payments
650;High_spent_Small_value_payments
651;Low_spent_Small_value_payments
652;High_spent_Small_value_payments
653;High_spent_Medium_value_payments
654;Low_spent_Medium_value_payments
655;Low_spent_Small_value_payments
656;Low_spent_Small_value_payments
657;Low_spent_Medium_value_payments
658;High_spent_Small_value_payments
659;High_spent_Large_value_payments
660;Low_spent_Small_value_payments
661;Low_spent_Large_value_payments
662;Low_spent_Small_value_payments
663;Low_spent_Small_value_payments
664;Low_spent_Small_value_payments
665;Low_spent_Small_value_payments
666;Low_spent_Medium_value_payments
667;Low_spent_Medium_value_payments
668;Low_spent_Small_value_payments
669;High_spent_Medium_value_payments
670;Low_spent_Small_value_payments
671;High_spent_Large_value_payments
672;Low_spent_Small_value_payments
673;Low_spent_Large_value_payments
674;Low_spent_Medium_value_payments
675;High_spent_Large_value_payments
676;Low_spent_Small_value_payments
677;Low_spent_Small_value_payments
678;Low_spent_Large_value_payments
679;High_spent_Medium_value_payments
680;Low_spent_Large_value_payments
681;Low_spent_Large_value_payments
682;Low_spent_Medium_value_payments
683;High_spent_Small_value_payments
684;Low_spent_Small_value_payments
685;Low_spent_Small_value_payments
686;Low_spent_Large_value_payments
687;Low_spent_Small_value_payments
688;High_spent_Medium_value_payments
689;Low_spent_Small_value_payments
690;Low_spent_Small_value_payments
691;High_spent_Medium_value_payments
692;Low_spent_Medium_value_payments
693;High_spent_Small_value_payments
694;Low_spent_Small_value_payments
695;High_spent_Medium_value_payments
696;High_spent_Medium_value_payments
697;High_spent_Medium_value_payments
698;High_spent_Small_value_payments
699;High_spent_Medium_value_payments
700;Low_spent_Large_value_payments
701;High_spent_Medium_value_payments
702;High_spent_Medium_value_payments
703;Low_spent_Large_value_payments
704;Low_spent_Small_value_payments
705;Low_spent_Medium_value_payments
706;Low_spent_Medium_value_payments
707;High_spent_Small_value_payments
708;High_spent_Small_value_payments
709;High_spent_Large_value_payments
710;High_spent_Large_value_payments
711;High_spent_Small_value_payments
712;Low_spent_Large_value_payments
713;High_spent_Medium_value_payments
714;High_spent_Medium_value_payments
715;High_spent_Medium_value_payments
716;High_spent_Large_value_payments
717;High_spent_Large_value_payments
718;High_spent_Large_value_payments
719;High_spent_Large_value_payments
720;High_spent_Large_value_payments
721;Low_spent_Small_value_payments
722;Low_spent_Small_value_payments
723;Low_spent_Large_value_payments
724;Low_spent_Small_value_payments
725;Low_spent_Small_value_payments
726;High_spent_Large_value_payments
727;Low_spent_Small_value_payments
728;High_spent_Large_value_payments
729;High_spent_Medium_value_payments
730;Low_spent_Small_value_payments
731;High_spent_Medium_value_payments
732;Low_spent_Small_value_payments
733;High_spent_Large_value_payments
734;High_spent_Medium_value_payments
735;Low_spent_Medium_value_payments
736;High_spent_Large_value_payments
737;Low_spent_Small_value_payments
738;Low_spent_Medium_value_payments
739;High_spent_Large_value_payments
740;High_spent_Medium_value_payments
741;Low_spent_Medium_value_payments
742;High_spent_Large_value_payments
743;Low_spent_Medium_value_payments
744;Low_spent_Large_value_payments
745;Low_spent_Medium_value_payments
746;Low_spent_Medium_value_payments
747;High_spent_Large_value_payments
748;Low_spent_Small_value_payments
749;High_spent_Medium_value_payments
750;High_spent_Medium_value_payments
751;High_spent_Large_value_payments
752;Low_spent_Small_value_payments
753;High_spent_Medium_value_payments
754;High_spent_Small_value_payments
755;Low_spent_Small_value_payments
756;Low_spent_Medium_value_payments
757;High_spent_Large_value_payments
758;Low_spent_Small_value_payments
759;Low_spent_Medium_value_payments
760;Low_spent_Medium_value_payments
761;High_spent_Small_value_payments
762;High_spent_Medium_value_payments
763;High_spent_Large_value_payments
764;High_spent_Medium_value_payments
765;Low_spent_Small_value_payments
766;High_spent_Small_value_payments
767;Low_spent_Small_value_payments
768;Low_spent_Small_value_payments
769;Low_spent_Small_value_payments
770;High_spent_Small_value_payments
771;Low_spent_Medium_value_payments
772;Low_spent_Small_value_payments
773;Low_spent_Small_value_payments
774;Low_spent_Small_value_payments
775;Low_spent_Small_value_payments
776;High_spent_Medium_value_payments
777;Low_spent_Small_value_payments
778;Low_spent_Small_value_payments
779;Low_spent_Small_value_payments
780;Low_spent_Medium_value_payments
781;High_spent_Medium_value_payments
782;Low_spent_Small_value_payments
783;Low_spent_Small_value_payments
784;High_spent_Large_value_payments
785;Low_spent_Medium_value_payments
786;Low_spent_Medium_value_payments
787;High_spent_Medium_value_payments
788;High_spent_Medium_value_payments
789;High_spent_Large_value_payments
790;High_spent_Medium_value_payments
791;Low_spent_Large_value_payments
792;Low_spent_Small_value_payments
793;High_spent_Large_value_payments
794;High_spent_Small_value_payments
795;Low_spent_Small_value_payments
796;Low_spent_Small_value_payments
797;Low_spent_Small_value_payments
798;Low_spent_Small_value_payments
799;Low_spent_Small_value_payments
800;Low_spent_Large_value_payments
801;Low_spent_Large_value_payments
802;High_spent_Large_value_payments
803;High_spent_Large_value_payments
804;Low_spent_Small_value_payments
805;High_spent_Large_value_payments
806;Low_spent_Small_value_payments
807;High_spent_Medium_value_payments
808;High_spent_Medium_value_payments
809;High_spent_Medium_value_payments
810;Low_spent_Medium_value_payments
811;Low_spent_Small_value_payments
812;Low_spent_Medium_value_payments
813;High_spent_Small_value_payments
814;High_spent_Large_value_payments
815;High_spent_Large_value_payments
816;Low_spent_Small_value_payments
817;Low_spent_Large_value_payments
818;Low_spent_Small_value_payments
819;High_spent_Small_value_payments
820;High_spent_Small_value_payments
821;Low_spent_Medium_value_payments
822;Low_spent_Small_value_payments
823;Low_spent_Large_value_payments
824;Low_spent_Small_value_payments
825;High_spent_Large_value_payments
826;Low_spent_Small_value_payments
827;High_spent_Small_value_payments
828;High_spent_Large_value_payments
829;Low_spent_Small_value_payments
830;High_spent_Large_value_payments
831;High_spent_Small_value_payments
832;High_spent_Large_value_payments
833;High_spent_Large_value_payments
834;Low_spent_Medium_value_payments
835;Low_spent_Medium_value_payments
836;Low_spent_Large_value_payments
837;High_spent_Large_value_payments
838;Low_spent_Medium_value_payments
839;High_spent_Large_value_payments
840;Low_spent_Medium_value_payments
841;Low_spent_Medium_value_payments
842;Low_spent_Large_value_payments
843;Low_spent_Small_value_payments
844;High_spent_Small_value_payments
845;Low_spent_Medium_value_payments
846;High_spent_Medium_value_payments
847;Low_spent_Small_value_payments
848;Low_spent_Small_value_payments
849;Low_spent_Small_value_payments
850;High_spent_Medium_value_payments
851;Low_spent_Large_value_payments
852;High_spent_Large_value_payments
853;High_spent_Large_value_payments
854;High_spent_Large_value_payments
855;Low_spent_Large_value_payments
856;High_spent_Medium_value_payments
857;Low_spent_Small_value_payments
858;Low_spent_Small_value_payments
859;Low_spent_Small_value_payments
860;High_spent_Small_value_payments
861;High_spent_Small_value_payments
862;Low_spent_Large_value_payments
863;High_spent_Large_value_payments
864;Low_spent_Large_value_payments
865;Low_spent_Medium_value_payments
866;Low_spent_Small_value_payments
867;Low_spent_Small_value_payments
868;High_spent_Large_value_payments
869;Low_spent_Medium_value_payments
870;Low_spent_Small_value_payments
871;High_spent_Large_value_payments
872;Low_spent_Large_value_payments
873;Low_spent_Medium_value_payments
874;Low_spent_Small_value_payments
875;Low_spent_Large_value_payments
876;High_spent_Large_value_payments
877;High_spent_Medium_value_payments
878;High_spent_Medium_value_payments
879;High_spent_Large_value_payments
880;Low_spent_Small_value_payments
